autor,nombre,url,anho,genero
Palito Ortega,Despeinada,https://www.youtube.com/watch?v=zoEYw5A4W9Q,1963,Pop
Leo Dan,Como te extraño mi amor,https://www.youtube.com/watch?v=SWdtF1ll8ac,1964,Balada
Leonardo Favio,O quizas simplemente le regale una rosa,https://www.youtube.com/watch?v=xmzD018ucYc,1968,Balada
Leonardo Favio,La foto de carné,https://www.youtube.com/watch?v=MDgBFpzDsDw,1971,Balada
Nino Bravo,Un beso y una flor,https://www.youtube.com/watch?v=r-OvqPW3j6c,1972,Balada
Nino Bravo,América,https://www.youtube.com/watch?v=u9511y5Z-Sk,1974,Balada
Leo Dan,Esa pared,https://www.youtube.com/watch?v=XszHYVoDNXc,1975,Balada
Diego Verdaguer,Volveré,https://www.youtube.com/watch?v=dUdfpKxSLEk,1975,Balada
Héctor Lavoe,Periódico de ayer,https://www.youtube.com/watch?v=yG696YuKfh8,1976,Salsa
Binomio de Oro de América,La creciente,https://www.youtube.com/watch?v=a4zhfiryo_o,1977,Vallenato
Héctor Lavoe,El cantante,https://www.youtube.com/watch?v=ivoKLLw5UWc,1978,Salsa
Ruben Blades,Pedro Navajas,https://www.youtube.com/watch?v=ZY0vaMugAOM,1978,Salsa
Julio Jaramillo,Odiame,https://www.youtube.com/watch?v=gFktUDrodYQ,1980,Popular
Otto Serge,Señora,https://www.youtube.com/watch?v=pvfY1MII0f0,1980,Vallenato
Diego Verdaguer,La ladrona,https://www.youtube.com/watch?v=DGXsrIFk8I0,1981,Pop
Yuri,Maldita primavera,https://www.youtube.com/watch?v=1_LIFoRVCeI,1981,Balada Pop
Las Estrellas Vallenatas,Obsesion,https://www.youtube.com/watch?v=kIb2WJeKTdg,1982,Vallenato
Yuri,Tú y Yo,https://www.youtube.com/watch?v=8JlDOZ2cAiM,1982,Pop
Daniela Romo,Celos,https://www.youtube.com/watch?v=RdIPOaJtugA,1983,Pop
Daniela Romo,Mentiras,https://www.youtube.com/watch?v=TxGu0fSNz3Y,1983,Pop
Yuri ,"Yo te amo, te amo",https://www.youtube.com/watch?v=xTtdCPxcAUI,1983,Pop
Miguel Bose,Amante Bandido,https://www.youtube.com/watch?v=lA9p_fpUxnY,1984,Pop
Willie Colón,Gitana,https://www.youtube.com/watch?v=8C46_lbk22I,1984,Salsa
La Unión,Lobo hombre en París,https://www.youtube.com/watch?v=5YkNk0TN_DU,1984,Rock
Paloma San Basilio,Por qué me abandonaste,https://www.youtube.com/watch?v=Rw64bDOuTKw,1984,Pop
Franco de Vita,Un buen perdedor,https://www.youtube.com/watch?v=9U1QubXPEQs,1984,Balada Pop
Daniela Romo,Yo no te pido la luna,https://www.youtube.com/watch?v=F_oaDAL41-o,1984,Pop
Fito Páez,11 y 6,https://www.youtube.com/watch?v=7s-LYVK2c_s,1985,Pop Rock
Flans,Bazar,https://www.youtube.com/watch?v=F7manrULsgM,1985,Pop
Soda Stereo,Cuando pase el temblor,https://www.youtube.com/watch?v=ixjMZeQE4mo,1985,Rock
Rocio Durcal y Juan Gabriel,Déjame vivir,https://www.youtube.com/watch?v=KnXWE_9Lfb0,1985,Ranchera
Los Prisioneros,El baile de los que sobran,https://www.youtube.com/watch?v=k2JOD2Kc5Jw,1986,Rock
Los Prisioneros,Muevan las industrias,https://www.youtube.com/watch?v=WQgp2ujwF4s,1986,Rock
Soda Stereo,Persiana americana,https://www.youtube.com/watch?v=WSUU_iB9iH8,1986,Rock
Los lobos,La bamba,https://www.youtube.com/watch?v=nLAWPrCUQQ0,1987,Pop Rock
Los Toreros Muertos,Mi agüita amarilla,https://www.youtube.com/watch?v=qTq1i1SdH3o,1987,Rock
Hombres G,Temblando,https://www.youtube.com/watch?v=yhA-1EfX184,1987,Balada Pop
Los Bukis,Tu cárcel,https://www.youtube.com/watch?v=7FL_kcn_F5s,1987,Pop
Ricardo Montaner,Tan enamorados,https://www.youtube.com/watch?v=vwPz_uPahMM,1988,Balada Pop
Franco de Vita,Te amo,https://www.youtube.com/watch?v=spbx_kFzw0M,1988,Balada Pop
Los Fabulosos Cadillacs y Celia Cruz,Vasos vacíos,https://www.youtube.com/watch?v=BcozFINrKeY,1988,Pop Rock
Los Prisioneros,We are sudamerican rockers,https://www.youtube.com/watch?v=9NwXMDbrqA0,1988,Rock
Soda Stereo,De música ligera,https://www.youtube.com/watch?v=IibXYWSBpZw,1990,Rock
Vicente Fernández,Mujeres divinas,https://www.youtube.com/watch?v=Tp_PiCeiaiI,1990,Ranchera
Grupo Niche,"Oiga, mire, vea",https://www.youtube.com/watch?v=5WJCXVtVvZk,1990,Salsa
Grupo Niche,Sin Sentimientos,https://www.youtube.com/watch?v=j42jEMFdynY,1990,Salsa
Niche,Una Aventura,https://www.youtube.com/watch?v=hVtG-Mc1pIc,1990,Salsa
Luis Angel,Un amor que termina así,https://www.youtube.com/watch?v=gfkC1N4pvLY,1991,Balada Pop
Tony Vega,Aparentemente,https://www.youtube.com/watch?v=olvKoDaNc9s,1992,Salsa
Wilfrido Vargas,El baile del perrito,https://www.youtube.com/watch?v=3BOnnmqcU4o,1992,Merengue
Alci Acosta,El último beso,https://www.youtube.com/watch?v=zTkbuUX1yUQ,1992,Popular
Alci Acosta,La copa rota,https://www.youtube.com/watch?v=8TUfVdST6SU,1992,Popular
Sergio Vargas,La ventanita,https://www.youtube.com/watch?v=BgrxGGQO1jY,1992,Merengue
Maná,Me vale,https://www.youtube.com/watch?v=OxTGx8AYiaw,1992,Rock
Caifanes,No dejes que,https://www.youtube.com/watch?v=OrYfuNAxSUA,1992,Rock
Jerry Rivera,Amores como el nuestro,https://www.youtube.com/watch?v=M85l1qW8x18,1993,Salsa
Vilma Palma e Vampiros,Auto rojo,https://www.youtube.com/watch?v=w-362G-b7zc,1993,Rock
Los Coquillos,Borracho hasta el amanecer,https://www.youtube.com/watch?v=8MTV_v5useI,1993,Pop Rock
Proyecto Uno,El tiburón,https://www.youtube.com/watch?v=C4qsqc8mW7E,1993,Merengue
Laura Pausini,La soledad,https://www.youtube.com/watch?v=Rp4E4DR_zGQ,1993,Balada Pop
Big Boy,Mis Ojos Lloran Por Ti,https://www.youtube.com/watch?v=nnVRIHv4UP8,1993,Hip Hop
Ricardo Arjona,Mujeres,https://www.youtube.com/watch?v=tPw-D0RDykM,1993,Pop
Jerry Rivera,Qué hay de malo,https://www.youtube.com/watch?v=SUgQHe902yQ,1993,Salsa
