generos
Pop
Salsa
Vallenato
Merengue
Reggae
Ranchera
Flamenco
Norteña
Pop Rock
Rock
Ska
Tropical
Balada Pop
Reggaeton
Balada
Hip Hop
Funk Rock
Tropipop
Bachata
Popular
Champeta
Salsa Shocke
